customer_id,Recency,Frequency,Monetary,Cluster,Segment
137,3,10,4660.0,3,New / Low Value Customers
138,234,10,5595.0,1,At Risk Customers
139,154,9,2895.0,3,New / Low Value Customers
140,98,7,4500.0,3,New / Low Value Customers
141,24,10,3580.0,3,New / Low Value Customers
142,82,5,5960.0,3,New / Low Value Customers
143,433,4,1280.0,1,At Risk Customers
144,32,15,5435.0,0,Potential Loyal Customers
145,357,10,6045.0,1,At Risk Customers
146,9,9,2265.0,3,New / Low Value Customers
147,224,10,2395.0,1,At Risk Customers
148,266,8,4055.0,1,At Risk Customers
149,397,3,1090.0,1,At Risk Customers
150,1,7,675.0,3,New / Low Value Customers
151,22,7,2950.0,3,New / Low Value Customers
152,262,6,1830.0,1,At Risk Customers
153,396,3,2225.0,1,At Risk Customers
154,60,4,1605.0,3,New / Low Value Customers
155,96,9,1755.0,3,New / Low Value Customers
